,profileId,Nom,Standard,Rapide,Blitz
0,45110565,"Roibet, Pierre ",1520,1537,1420
1,659487,"Song, Julien ",2361,2261,2261
2,656410,"Mouhamad, Joachim ",2266,2198,2164
3,26016460,"Sillero, Pierre ",1315,1377,Not rated
4,434523,"Egan, Simon ",1427,1459,Not rated
5,605506,"Bacrot, Etienne ",2646,2719,2666
6,608742,"Fressinet, Laurent ",2622,2684,2637
